Rank,City,State,Median Sales Price,Median Rental,# of Whole Foods
1,New York,NY,"$391,300","$3,000",17
2,Los Angeles,CA,"$629,800","$3,200",18
3,Chicago,IL,"$246,500","$1,750",15
9,Dallas,TX,"$257,600","$1,750",13
5,Philadelphia,PA,"$218,600","$1,600",9
24,Washington,DC,"$392,400","$2,250",16
44,Miami,FL,"$270,400","$2,100",12
40,Atlanta,GA,"$219,100","$1,550",6
22,Boston,MA,"$438,800","$2,600",9
14,San Francisco,CA,"$790,800","$3,410",17
59,Riverside,CA,"$351,500","$2,195",0
6,Phoenix,AZ,"$250,700","$1,595",3
N/A,Seattle,WA,"$468,700","$2,400",N/A
N/A,Minneapolis-St Paul,MN,"$265,600","$1,700",N/A
8,San Diego,CA,"$557,700","$2,723",3
58,St. Louis,MO,"$166,300","$1,100",4
53,Tampa,FL,"$217,500","$1,575",8
26,Baltimore,MD,"$251,200","$1,625",2
23,Denver,CO,"$399,000","$2,100",8
61,Pittsburgh,PA,"$147,800","$1,200",2
28,Portland,OR,"$386,800","$1,995",11
17,Charlotte,NC,"$224,400","$1,505",8
35,Sacramento,CA,"$400,000","$1,975",1
77,Orlando,FL,"$244,700","$1,610",0
65,Cincinnati,OH,"$170,800","$1,353",6
48,Cleveland,OH,"$142,000","$1,149",3
37,Kansas City,MO,"$218,800","$1,245",1
N/A,Las Vegas,NV,"$270,800","$1,550",N/A
15,Columbus,OH,"$203,900","$1,350",4
13,Indianapolis,IN,"$182,200","$1,250",4
10,San Jose,CA,"$1,023,800","$3,675",7
11,Austin,TX,"$290,500","$1,700",8
39,Virginia Beach,VA,"$229,300","$1,400",1
25,Nashville,TN,"$260,000","$1,695",2
N/A,Providence,RI,"$268,200","$1,900",N/A
30,Milwaukee,WI,"$218,500","$1,200",2
12,Jacksonville,FL,"$194,600","$1,450",0
20,Memphis,TN,"$156,000","$1,115",4
29,Oklahoma,OK,"$163,900","$1,145",1
27,Louisville,KY,"$177,800","$1,200",3
N/A,Hartford,CT,"$217,300","$1,558",N/A
N/A,Richmond,VA,"$242,600","$1,400",N/A
N/A,New Orleans,LA,"$192,300","$1,450",N/A
73,Buffalo,NY,"$156,100","$1,250",1
42,Raleigh,NC,"$259,400","$1,550",9
100,Birmingham,AL,"$185,400","$1,027",2
N/A,Rochester,NY,"$136,800","$1,300",N/A
N/A,Grand Rapids,MI,"$196,800","$1,350",N/A
33,Tucson,AZ,"$209,600","$1,350",2
46,Tulsa,OK,"$156,600","$1,050",2
